benchmark,label_id,class_name,group,n_real,n_generated,ce,bsce,ours
K100-LT,81,wrestling,fewshot,11,979,0.38,0.4,0.5
K100-LT,82,egg hunting,fewshot,11,979,0.58,0.68,0.74
K100-LT,83,parkour,fewshot,11,979,0.14583333333333334,0.5833333333333334,0.7083333333333334
K100-LT,84,auctioning,fewshot,10,980,0.44,0.66,0.82
K100-LT,85,skiing crosscountry,fewshot,10,980,0.08,0.52,0.54
K100-LT,86,swinging on something,fewshot,10,980,0.1836734693877551,0.32653061224489793,0.6326530612244898
K100-LT,87,skipping rope,fewshot,10,980,0.2,0.72,0.86
K100-LT,88,hockey stop,fewshot,9,981,0.02,0.14,0.48
K100-LT,89,garbage collecting,fewshot,8,982,0.061224489795918366,0.22448979591836735,0.5714285714285714
K100-LT,90,doing aerobics,fewshot,8,982,0.16,0.28,0.66
K100-LT,91,changing wheel,fewshot,8,982,0.3,0.4,0.58
K100-LT,92,building cabinet,fewshot,7,983,0.36,0.6,0.84
K100-LT,93,gargling,fewshot,7,983,0.0,0.24489795918367346,0.6122448979591837
K100-LT,94,making a sandwich,fewshot,7,983,0.04,0.14,0.68
K100-LT,95,water sliding,fewshot,6,984,0.04,0.34,0.7
K100-LT,96,recording music,fewshot,6,984,0.0,0.08,0.18
K100-LT,97,making tea,fewshot,6,984,0.0,0.22,0.54
K100-LT,98,swinging legs,fewshot,6,984,0.04,0.32,0.32
K100-LT,99,drinking shots,fewshot,5,985,0.0,0.14285714285714285,0.1836734693877551
