benchmark,label_id,class_name,group,n_real,n_generated,ce,bsce,ours
UCF-LT,25,Diving,tail,41,80,,,
UCF-LT,26,Drumming,head,92,29,,,
UCF-LT,27,Fencing,fewshot,6,115,,,
UCF-LT,28,FieldHockeyPenalty,fewshot,10,111,,,
UCF-LT,29,FloorGymnastics,fewshot,12,109,,,
UCF-LT,30,FrisbeeCatch,fewshot,12,109,,,
UCF-LT,31,FrontCrawl,tail,29,92,,,
UCF-LT,32,GolfSwing,tail,28,93,,,
UCF-LT,33,Haircut,tail,22,99,,,
UCF-LT,34,Hammering,tail,50,71,,,
UCF-LT,35,HammerThrow,tail,40,81,,,
UCF-LT,36,HandStandPushups,tail,27,94,,,
UCF-LT,37,HandstandWalking,fewshot,6,115,,,
UCF-LT,38,HeadMassage,tail,45,76,,,
UCF-LT,39,HighJump,fewshot,9,112,,,
UCF-LT,40,HorseRace,fewshot,12,109,,,
UCF-LT,41,HorseRiding,head,88,33,,,
UCF-LT,42,HulaHoop,fewshot,14,107,,,
UCF-LT,43,IceDancing,head,65,56,,,
UCF-LT,44,JavelinThrow,fewshot,9,112,,,
UCF-LT,45,JugglingBalls,fewshot,8,113,,,
UCF-LT,46,JumpingJack,fewshot,9,112,,,
UCF-LT,47,JumpRope,tail,43,78,,,
UCF-LT,48,Kayaking,tail,38,83,,,
UCF-LT,49,Knitting,fewshot,11,110,,,
UCF-LT,50,LongJump,fewshot,16,105,,,
UCF-LT,51,Lunges,fewshot,13,108,,,
UCF-LT,52,MilitaryParade,fewshot,15,106,,,
UCF-LT,53,Mixing,fewshot,13,108,,,
UCF-LT,54,MoppingFloor,fewshot,6,115,,,
UCF-LT,55,Nunchucks,tail,21,100,,,
UCF-LT,56,ParallelBars,fewshot,6,115,,,
UCF-LT,57,PizzaTossing,fewshot,7,114,,,
UCF-LT,58,PlayingCello,head,115,6,,,
UCF-LT,59,PlayingDaf,head,59,62,,,
UCF-LT,60,PlayingDhol,head,84,37,,,
UCF-LT,61,PlayingFlute,tail,48,73,,,
UCF-LT,62,PlayingGuitar,head,101,20,,,
UCF-LT,63,PlayingPiano,fewshot,6,115,,,
UCF-LT,64,PlayingSitar,head,77,44,,,
UCF-LT,65,PlayingTabla,fewshot,7,114,,,
UCF-LT,66,PlayingViolin,fewshot,5,116,,,
UCF-LT,67,PoleVault,head,57,64,,,
UCF-LT,68,PommelHorse,fewshot,11,110,,,
UCF-LT,69,PullUps,fewshot,5,116,,,
UCF-LT,70,Punch,head,121,0,,,
UCF-LT,71,PushUps,fewshot,5,116,,,
UCF-LT,72,Rafting,fewshot,8,113,,,
UCF-LT,73,RockClimbingIndoor,tail,34,87,,,
UCF-LT,74,RopeClimbing,fewshot,9,112,,,
UCF-LT,75,Rowing,tail,32,89,,,
UCF-LT,76,SalsaSpin,fewshot,13,108,,,
UCF-LT,77,ShavingBeard,head,105,16,,,
UCF-LT,78,Shotput,tail,25,96,,,
UCF-LT,79,SkateBoarding,fewshot,10,111,,,
UCF-LT,80,Skiing,fewshot,19,102,,,
UCF-LT,81,Skijet,fewshot,5,116,,,
UCF-LT,82,SkyDiving,fewshot,7,114,,,
UCF-LT,83,SoccerJuggling,tail,55,66,,,
UCF-LT,84,SoccerPenalty,tail,20,101,,,
UCF-LT,85,StillRings,fewshot,7,114,,,
UCF-LT,86,SumoWrestling,fewshot,8,113,,,
UCF-LT,87,Surfing,fewshot,17,104,,,
UCF-LT,88,Swing,fewshot,11,110,,,
UCF-LT,89,TableTennisShot,tail,31,90,,,
UCF-LT,90,TaiChi,fewshot,5,116,,,
UCF-LT,91,TennisSwing,head,96,25,,,
UCF-LT,92,ThrowDiscus,fewshot,15,106,,,
UCF-LT,93,TrampolineJumping,fewshot,10,111,,,
UCF-LT,94,Typing,fewshot,16,105,,,
UCF-LT,95,UnevenBars,fewshot,6,115,,,
UCF-LT,96,VolleyballSpiking,fewshot,7,114,,,
UCF-LT,97,WalkingWithDog,fewshot,10,111,,,
UCF-LT,98,WallPushups,fewshot,18,103,,,
UCF-LT,99,WritingOnBoard,tail,47,74,,,
UCF-LT,100,YoYo,fewshot,14,107,,,
RareAct-K100-LT,0,canoeing or kayaking,head,990,0,,,
RareAct-K100-LT,1,hammer throw,head,879,0,,,
RareAct-K100-LT,2,punching bag,head,845,0,,,
RareAct-K100-LT,3,gymnastics tumbling,head,738,0,,,
RareAct-K100-LT,4,cheerleading,head,724,0,,,
RareAct-K100-LT,5,rock climbing,head,696,0,,,
RareAct-K100-LT,6,skiing (not slalom or crosscountry),head,622,0,,,
RareAct-K100-LT,7,playing trombone,head,536,0,,,
RareAct-K100-LT,8,playing violin,head,526,0,,,
RareAct-K100-LT,9,playing tennis,head,463,0,,,
RareAct-K100-LT,10,pull ups,head,408,0,,,
RareAct-K100-LT,11,bench pressing,tail,401,0,,,
RareAct-K100-LT,12,throwing discus,tail,355,0,,,
RareAct-K100-LT,13,capoeira,tail,349,0,,,
RareAct-K100-LT,14,bowling,tail,309,21,,,
RareAct-K100-LT,15,swimming backstroke,tail,304,26,,,
RareAct-K100-LT,16,driving car,tail,265,65,,,
RareAct-K100-LT,17,belly dancing,tail,240,90,,,
RareAct-K100-LT,18,ski jumping,tail,236,94,,,
RareAct-K100-LT,19,smoking,tail,232,98,,,
RareAct-K100-LT,20,country line dancing,tail,214,116,,,
RareAct-K100-LT,21,pumping fist,tail,204,126,,,
RareAct-K100-LT,22,side kick,tail,188,142,,,
RareAct-K100-LT,23,somersaulting,tail,182,148,,,
RareAct-K100-LT,24,pole vault,tail,179,151,,,
RareAct-K100-LT,25,milking cow,tail,174,156,,,
RareAct-K100-LT,26,roller skating,tail,158,172,,,
RareAct-K100-LT,27,breakdancing,tail,149,181,,,
RareAct-K100-LT,28,tap dancing,tail,144,186,,,
RareAct-K100-LT,29,shaving head,tail,140,190,,,
RareAct-K100-LT,30,snowboarding,tail,134,196,,,
RareAct-K100-LT,31,playing accordion,tail,132,198,,,
RareAct-K100-LT,32,dribbling basketball,tail,124,206,,,
RareAct-K100-LT,33,playing ice hockey,tail,110,220,,,
RareAct-K100-LT,34,clean and jerk,tail,105,225,,,
RareAct-K100-LT,35,playing drums,tail,102,228,,,
RareAct-K100-LT,36,robot dancing,tail,98,232,,,
RareAct-K100-LT,37,cleaning floor,tail,87,243,,,
RareAct-K100-LT,38,opening present,tail,83,247,,,
RareAct-K100-LT,39,busking,tail,80,250,,,
RareAct-K100-LT,40,catching or throwing softball,tail,78,252,,,
RareAct-K100-LT,41,tying knot (not on a tie),tail,69,261,,,
RareAct-K100-LT,42,kicking field goal,tail,67,263,,,
RareAct-K100-LT,43,stretching leg,tail,62,268,,,
RareAct-K100-LT,44,high kick,tail,61,269,,,
RareAct-K100-LT,45,shuffling cards,tail,60,270,,,
RareAct-K100-LT,46,kitesurfing,tail,56,274,,,
RareAct-K100-LT,47,playing didgeridoo,tail,53,277,,,
RareAct-K100-LT,48,sled dog racing,tail,50,280,,,
RareAct-K100-LT,49,parasailing,tail,49,281,,,
RareAct-K100-LT,50,catching or throwing baseball,tail,45,285,,,
RareAct-K100-LT,51,cutting watermelon,tail,43,287,,,
RareAct-K100-LT,52,weaving basket,tail,41,289,,,
RareAct-K100-LT,53,playing cards,tail,39,291,,,
RareAct-K100-LT,54,writing,tail,37,293,,,
RareAct-K100-LT,55,drop kicking,tail,36,294,,,
RareAct-K100-LT,56,playing keyboard,tail,35,295,,,
RareAct-K100-LT,57,changing oil,tail,33,297,,,
RareAct-K100-LT,58,cleaning shoes,tail,30,300,,,
RareAct-K100-LT,59,bouncing on trampoline,tail,29,301,,,
RareAct-K100-LT,60,swimming butterfly stroke,tail,28,302,,,
RareAct-K100-LT,61,folding clothes,tail,27,303,,,
RareAct-K100-LT,62,jumpstyle dancing,tail,25,305,,,
RareAct-K100-LT,63,krumping,tail,25,305,,,
RareAct-K100-LT,64,playing cymbals,tail,23,307,,,
RareAct-K100-LT,65,grooming horse,tail,23,307,,,
RareAct-K100-LT,66,getting a haircut,tail,23,307,,,
RareAct-K100-LT,67,throwing ball,tail,22,308,,,
RareAct-K100-LT,68,hurdling,tail,21,309,,,
RareAct-K100-LT,69,cartwheeling,tail,20,310,,,
RareAct-K100-LT,70,shining shoes,fewshot,19,311,,,
RareAct-K100-LT,71,mopping floor,fewshot,19,311,,,
RareAct-K100-LT,72,drinking,fewshot,17,313,,,
RareAct-K100-LT,73,sanding floor,fewshot,16,314,,,
RareAct-K100-LT,74,arranging flowers,fewshot,16,314,,,
RareAct-K100-LT,75,vault,fewshot,15,315,,,
RareAct-K100-LT,76,hoverboarding,fewshot,14,316,,,
RareAct-K100-LT,77,planting trees,fewshot,14,316,,,
RareAct-K100-LT,78,skiing slalom,fewshot,13,317,,,
RareAct-K100-LT,79,ironing,fewshot,13,317,,,
RareAct-K100-LT,80,clay pottery making,fewshot,12,318,,,
RareAct-K100-LT,81,wrestling,fewshot,11,319,,,
RareAct-K100-LT,82,egg hunting,fewshot,11,319,,,
RareAct-K100-LT,83,parkour,fewshot,11,319,,,
RareAct-K100-LT,84,auctioning,fewshot,10,320,,,
RareAct-K100-LT,85,skiing crosscountry,fewshot,10,320,,,
RareAct-K100-LT,86,swinging on something,fewshot,10,320,,,
RareAct-K100-LT,87,skipping rope,fewshot,10,320,,,
RareAct-K100-LT,88,hockey stop,fewshot,9,321,,,
RareAct-K100-LT,89,garbage collecting,fewshot,8,322,,,
RareAct-K100-LT,90,doing aerobics,fewshot,8,322,,,
RareAct-K100-LT,91,changing wheel,fewshot,8,322,,,
RareAct-K100-LT,92,building cabinet,fewshot,7,323,,,
RareAct-K100-LT,93,gargling,fewshot,7,323,,,
RareAct-K100-LT,94,making a sandwich,fewshot,7,323,,,
RareAct-K100-LT,95,water sliding,fewshot,6,324,,,
RareAct-K100-LT,96,recording music,fewshot,6,324,,,
RareAct-K100-LT,97,making tea,fewshot,6,324,,,
RareAct-K100-LT,98,swinging legs,fewshot,6,324,,,
RareAct-K100-LT,99,drinking shots,fewshot,5,325,,,
RareAct-K100-LT,100,wash_chair,rareact,5,325,,,
RareAct-K100-LT,101,cut_car,rareact,5,325,,,
RareAct-K100-LT,102,measure_pumpkin,rareact,5,325,,,
RareAct-K100-LT,103,cut_pumpkin,rareact,5,325,,,
RareAct-K100-LT,104,weigh_pumpkin,rareact,5,325,,,
RareAct-K100-LT,105,peel_corn,rareact,5,325,,,
RareAct-K100-LT,106,cut_keyboard,rareact,5,325,,,
RareAct-K100-LT,107,wash_rock,rareact,5,325,,,
RareAct-K100-LT,108,spray_door,rareact,5,325,,,
RareAct-K100-LT,109,drill_phone,rareact,5,325,,,
RareAct-K100-LT,110,wash_pepper,rareact,5,325,,,
RareAct-K100-LT,111,spray_fridge,rareact,5,325,,,
RareAct-K100-LT,112,hammer_rock,rareact,5,325,,,
RareAct-K100-LT,113,spray_pumpkin,rareact,5,325,,,
RareAct-K100-LT,114,hammer_car,rareact,5,325,,,
RareAct-K100-LT,115,weigh_shoes,rareact,5,325,,,
RareAct-K100-LT,116,hammer_phone,rareact,5,325,,,
RareAct-K100-LT,117,spray_shoes,rareact,5,325,,,
RareAct-K100-LT,118,weigh_tomato,rareact,5,325,,,
RareAct-K100-LT,119,wash_window,rareact,5,325,,,
RareAct-K100-LT,120,measure_hair,rareact,5,325,,,
RareAct-K100-LT,121,wash_potato,rareact,5,325,,,
